physician_id,question,vignette_label,decision,confidence,question_type,vignette_class
12,4,A2,Medevac,10.0,Clear Medevac,A
12,5,B2,Commercial,7.0,Clear Not Medevac,B
12,6,B3,Commercial,7.0,Clear Not Medevac,B
12,7,B4,Medevac,10.0,Clear Not Remain,B
12,8,A3,Remain,8.0,Clear Remain,A
12,9,A4,Commercial,6.0,Clear Commercial,A
12,10,B5,Medevac,5.0,Clear Not Remain,B
12,11,A5,Remain,8.0,Clear Remain,A
12,12,C2,Medevac,5.0,Any Option,C
12,13,A6,Medevac,10.0,Clear Medevac,A
12,14,B6,Remain,8.0,Clear Not Medevac,B
12,15,A7,Remain,7.0,Clear Commercial,A
12,16,D1,Medevac,10.0,Conflict Between Physiology/Logistics,D
12,17,D2,Remain,7.0,Conflict Between Physiology/Logistics,D
12,18,D3,Remain,8.0,Conflict Between Physiology/Logistics,D
12,19,A8,Medevac,8.0,Clear Medevac,A
12,20,C3,Remain,5.0,Any Option,C
13,1,A1,Medevac,10.0,Clear Medevac,A
13,2,B1,Remain,5.0,Clear Not Medevac,B
13,3,C1,Remain,7.0,Any Option,C
13,4,A2,Medevac,9.0,Clear Medevac,A
13,5,B2,Remain,8.0,Clear Not Medevac,B
13,6,B3,Commercial,2.0,Clear Not Medevac,B
13,7,B4,Medevac,10.0,Clear Not Remain,B
13,8,A3,Remain,3.0,Clear Remain,A
13,9,A4,Commercial,8.0,Clear Commercial,A
13,10,B5,Medevac,8.0,Clear Not Remain,B
13,11,A5,Commercial,6.0,Clear Remain,A
13,12,C2,Remain,1.0,Any Option,C
13,13,A6,Medevac,9.0,Clear Medevac,A
13,14,B6,Commercial,5.0,Clear Not Medevac,B
13,15,A7,Medevac,9.0,Clear Commercial,A
13,16,D1,Medevac,9.0,Conflict Between Physiology/Logistics,D
13,17,D2,Remain,7.0,Conflict Between Physiology/Logistics,D
13,18,D3,Remain,9.0,Conflict Between Physiology/Logistics,D
13,19,A8,Medevac,9.0,Clear Medevac,A
13,20,C3,Medevac,7.0,Any Option,C
14,1,A1,Medevac,10.0,Clear Medevac,A
14,2,B1,Medevac,10.0,Clear Not Medevac,B
14,3,C1,Remain,5.0,Any Option,C
14,4,A2,Medevac,10.0,Clear Medevac,A
14,5,B2,Commercial,10.0,Clear Not Medevac,B
14,6,B3,Remain,10.0,Clear Not Medevac,B
14,7,B4,Medevac,10.0,Clear Not Remain,B
14,8,A3,Commercial,5.0,Clear Remain,A
14,9,A4,Commercial,10.0,Clear Commercial,A
14,10,B5,Medevac,10.0,Clear Not Remain,B
14,11,A5,Remain,5.0,Clear Remain,A
14,12,C2,Commercial,5.0,Any Option,C
14,13,A6,Medevac,10.0,Clear Medevac,A
14,14,B6,Commercial,5.0,Clear Not Medevac,B
14,15,A7,Medevac,10.0,Clear Commercial,A
14,16,D1,Medevac,10.0,Conflict Between Physiology/Logistics,D
14,17,D2,Medevac,5.0,Conflict Between Physiology/Logistics,D
14,18,D3,Remain,10.0,Conflict Between Physiology/Logistics,D
14,19,A8,Medevac,10.0,Clear Medevac,A
14,20,C3,Commercial,5.0,Any Option,C
15,1,A1,Medevac,10.0,Clear Medevac,A
15,2,B1,Medevac,7.0,Clear Not Medevac,B
15,3,C1,Medevac,7.0,Any Option,C
15,4,A2,Medevac,10.0,Clear Medevac,A
15,5,B2,Commercial,9.0,Clear Not Medevac,B
15,6,B3,Medevac,8.0,Clear Not Medevac,B
15,7,B4,Medevac,10.0,Clear Not Remain,B
15,8,A3,Remain,9.0,Clear Remain,A
15,9,A4,Commercial,6.0,Clear Commercial,A
15,10,B5,Medevac,9.0,Clear Not Remain,B
15,11,A5,Remain,8.0,Clear Remain,A
15,12,C2,Medevac,9.0,Any Option,C
15,13,A6,Medevac,10.0,Clear Medevac,A
15,14,B6,Remain,9.0,Clear Not Medevac,B
15,15,A7,Medevac,6.0,Clear Commercial,A
15,16,D1,Medevac,10.0,Conflict Between Physiology/Logistics,D
15,17,D2,Medevac,8.0,Conflict Between Physiology/Logistics,D
15,18,D3,Remain,8.0,Conflict Between Physiology/Logistics,D
15,19,A8,Medevac,10.0,Clear Medevac,A
15,20,C3,Medevac,8.0,Any Option,C
16,1,A1,Medevac,8.0,Clear Medevac,A
16,2,B1,Remain,6.0,Clear Not Medevac,B
16,3,C1,Medevac,7.0,Any Option,C
16,4,A2,Medevac,10.0,Clear Medevac,A
16,5,B2,Remain,8.0,Clear Not Medevac,B
16,6,B3,Remain,6.0,Clear Not Medevac,B
16,7,B4,Medevac,10.0,Clear Not Remain,B
16,8,A3,Remain,8.0,Clear Remain,A
16,9,A4,Remain,6.0,Clear Commercial,A
16,10,B5,Medevac,8.0,Clear Not Remain,B
16,11,A5,Remain,9.0,Clear Remain,A
16,12,C2,Remain,6.0,Any Option,C
16,13,A6,Medevac,10.0,Clear Medevac,A
16,14,B6,Remain,10.0,Clear Not Medevac,B
16,15,A7,Medevac,8.0,Clear Commercial,A
16,16,D1,Medevac,10.0,Conflict Between Physiology/Logistics,D
16,17,D2,Medevac,8.0,Conflict Between Physiology/Logistics,D
16,18,D3,Medevac,5.0,Conflict Between Physiology/Logistics,D
16,19,A8,Medevac,10.0,Clear Medevac,A
16,20,C3,Commercial,5.0,Any Option,C
17,1,A1,Medevac,10.0,Clear Medevac,A
17,2,B1,Medevac,8.0,Clear Not Medevac,B
17,3,C1,Remain,5.0,Any Option,C
17,4,A2,Medevac,8.0,Clear Medevac,A
17,5,B2,Commercial,8.0,Clear Not Medevac,B
17,6,B3,Medevac,8.0,Clear Not Medevac,B
17,7,B4,Medevac,10.0,Clear Not Remain,B
17,8,A3,Remain,8.0,Clear Remain,A
17,9,A4,Commercial,5.0,Clear Commercial,A
17,10,B5,Medevac,10.0,Clear Not Remain,B
17,11,A5,Remain,5.0,Clear Remain,A
17,12,C2,Medevac,8.0,Any Option,C
17,13,A6,Medevac,10.0,Clear Medevac,A
17,14,B6,Remain,8.0,Clear Not Medevac,B
17,15,A7,Medevac,10.0,Clear Commercial,A
17,16,D1,Remain,5.0,Conflict Between Physiology/Logistics,D
17,17,D2,Medevac,5.0,Conflict Between Physiology/Logistics,D
17,18,D3,Medevac,10.0,Conflict Between Physiology/Logistics,D
17,19,A8,Medevac,10.0,Clear Medevac,A
17,20,C3,Medevac,10.0,Any Option,C
18,1,A1,Medevac,9.0,Clear Medevac,A
18,2,B1,Commercial,6.0,Clear Not Medevac,B
18,3,C1,Remain,6.0,Any Option,C
18,4,A2,Medevac,10.0,Clear Medevac,A
18,5,B2,Remain,4.0,Clear Not Medevac,B
18,6,B3,Remain,7.0,Clear Not Medevac,B
18,7,B4,Medevac,10.0,Clear Not Remain,B
18,8,A3,Remain,10.0,Clear Remain,A
18,9,A4,Commercial,8.0,Clear Commercial,A
18,10,B5,Commercial,9.0,Clear Not Remain,B
18,11,A5,Remain,8.0,Clear Remain,A
18,12,C2,Commercial,6.0,Any Option,C
18,13,A6,Medevac,8.0,Clear Medevac,A
18,14,B6,Remain,7.0,Clear Not Medevac,B
18,15,A7,Medevac,9.0,Clear Commercial,A
18,16,D1,Medevac,8.0,Conflict Between Physiology/Logistics,D
18,17,D2,Medevac,5.0,Conflict Between Physiology/Logistics,D
18,18,D3,Remain,9.0,Conflict Between Physiology/Logistics,D
18,19,A8,Medevac,8.0,Clear Medevac,A
18,20,C3,Medevac,4.0,Any Option,C
19,1,A1,Medevac,10.0,Clear Medevac,A
19,2,B1,Remain,8.0,Clear Not Medevac,B
19,3,C1,Remain,8.0,Any Option,C
19,4,A2,Medevac,10.0,Clear Medevac,A
19,5,B2,Commercial,10.0,Clear Not Medevac,B
19,6,B3,Remain,10.0,Clear Not Medevac,B
19,7,B4,Medevac,10.0,Clear Not Remain,B
19,8,A3,Remain,8.0,Clear Remain,A
19,9,A4,Remain,8.0,Clear Commercial,A
19,10,B5,Medevac,10.0,Clear Not Remain,B
19,11,A5,Remain,8.0,Clear Remain,A
19,12,C2,Commercial,8.0,Any Option,C
19,13,A6,Medevac,10.0,Clear Medevac,A
19,14,B6,Remain,8.0,Clear Not Medevac,B
19,15,A7,Medevac,10.0,Clear Commercial,A
19,16,D1,Medevac,10.0,Conflict Between Physiology/Logistics,D
19,17,D2,Medevac,8.0,Conflict Between Physiology/Logistics,D
19,18,D3,Remain,8.0,Conflict Between Physiology/Logistics,D
19,19,A8,Medevac,10.0,Clear Medevac,A
19,20,C3,Medevac,8.0,Any Option,C
20,1,A1,Medevac,10.0,Clear Medevac,A
20,2,B1,Commercial,8.0,Clear Not Medevac,B
20,3,C1,Remain,5.0,Any Option,C
20,4,A2,Medevac,10.0,Clear Medevac,A
20,5,B2,Commercial,7.0,Clear Not Medevac,B
20,6,B3,Commercial,7.0,Clear Not Medevac,B
20,7,B4,Medevac,10.0,Clear Not Remain,B
20,8,A3,Medevac,6.0,Clear Remain,A
20,9,A4,Commercial,3.0,Clear Commercial,A
20,10,B5,Commercial,6.0,Clear Not Remain,B
20,11,A5,Remain,5.0,Clear Remain,A
20,12,C2,Remain,3.0,Any Option,C
20,13,A6,Medevac,10.0,Clear Medevac,A
20,14,B6,Commercial,6.0,Clear Not Medevac,B
20,15,A7,Commercial,3.0,Clear Commercial,A
20,16,D1,Medevac,3.0,Conflict Between Physiology/Logistics,D
20,17,D2,Medevac,5.0,Conflict Between Physiology/Logistics,D
20,18,D3,Remain,10.0,Conflict Between Physiology/Logistics,D
20,19,A8,Medevac,7.0,Clear Medevac,A
20,20,C3,Remain,7.0,Any Option,C
21,1,A1,Medevac,10.0,Clear Medevac,A
21,2,B1,Commercial,7.0,Clear Not Medevac,B
21,3,C1,Remain,7.0,Any Option,C
21,4,A2,Medevac,8.0,Clear Medevac,A
21,5,B2,Commercial,10.0,Clear Not Medevac,B
21,6,B3,Commercial,7.0,Clear Not Medevac,B
21,7,B4,Medevac,10.0,Clear Not Remain,B
21,8,A3,Remain,8.0,Clear Remain,A
21,9,A4,Commercial,9.0,Clear Commercial,A
21,10,B5,Commercial,7.0,Clear Not Remain,B
21,11,A5,Remain,5.0,Clear Remain,A
21,12,C2,Medevac,5.0,Any Option,C
21,13,A6,Medevac,10.0,Clear Medevac,A
21,14,B6,Remain,8.0,Clear Not Medevac,B
21,15,A7,Commercial,5.0,Clear Commercial,A
21,16,D1,Remain,5.0,Conflict Between Physiology/Logistics,D
21,17,D2,Remain,7.0,Conflict Between Physiology/Logistics,D
21,18,D3,Remain,7.0,Conflict Between Physiology/Logistics,D
21,19,A8,Medevac,8.0,Clear Medevac,A
21,20,C3,Commercial,6.0,Any Option,C
22,1,A1,Medevac,10.0,Clear Medevac,A
22,2,B1,Commercial,8.0,Clear Not Medevac,B
22,3,C1,Remain,5.0,Any Option,C
22,4,A2,Medevac,10.0,Clear Medevac,A
22,5,B2,Commercial,8.0,Clear Not Medevac,B
22,6,B3,Commercial,8.0,Clear Not Medevac,B
22,7,B4,Medevac,10.0,Clear Not Remain,B
22,8,A3,Commercial,8.0,Clear Remain,A
22,9,A4,Commercial,10.0,Clear Commercial,A
22,10,B5,Medevac,5.0,Clear Not Remain,B
22,11,A5,Remain,9.0,Clear Remain,A
22,12,C2,Commercial,5.0,Any Option,C
22,13,A6,Medevac,5.0,Clear Medevac,A
22,14,B6,Remain,8.0,Clear Not Medevac,B
22,15,A7,Commercial,3.0,Clear Commercial,A
22,16,D1,Medevac,1.0,Conflict Between Physiology/Logistics,D
22,17,D2,Remain,10.0,Conflict Between Physiology/Logistics,D
22,18,D3,Remain,1.0,Conflict Between Physiology/Logistics,D
22,19,A8,Medevac,10.0,Clear Medevac,A
22,20,C3,Commercial,4.0,Any Option,C
23,1,A1,Medevac,10.0,Clear Medevac,A
23,2,B1,Commercial,8.0,Clear Not Medevac,B
23,3,C1,Remain,9.0,Any Option,C
23,4,A2,Medevac,10.0,Clear Medevac,A
23,5,B2,Commercial,5.0,Clear Not Medevac,B
23,6,B3,Medevac,9.0,Clear Not Medevac,B
23,7,B4,Medevac,10.0,Clear Not Remain,B
23,8,A3,Commercial,6.0,Clear Remain,A
23,9,A4,Remain,8.0,Clear Commercial,A
23,10,B5,Medevac,10.0,Clear Not Remain,B
23,11,A5,Remain,8.0,Clear Remain,A
23,12,C2,Medevac,9.0,Any Option,C
23,13,A6,Medevac,10.0,Clear Medevac,A
23,14,B6,Remain,9.0,Clear Not Medevac,B
23,15,A7,Commercial,6.0,Clear Commercial,A
23,16,D1,Medevac,10.0,Conflict Between Physiology/Logistics,D
23,17,D2,Medevac,6.0,Conflict Between Physiology/Logistics,D
23,18,D3,Remain,9.0,Conflict Between Physiology/Logistics,D
23,19,A8,Medevac,10.0,Clear Medevac,A
23,20,C3,Medevac,10.0,Any Option,C
24,1,A1,Medevac,10.0,Clear Medevac,A
24,2,B1,Commercial,9.0,Clear Not Medevac,B
24,3,C1,Medevac,10.0,Any Option,C
24,4,A2,Medevac,9.0,Clear Medevac,A
24,5,B2,Remain,6.0,Clear Not Medevac,B
24,6,B3,Commercial,6.0,Clear Not Medevac,B
24,7,B4,Medevac,10.0,Clear Not Remain,B
24,8,A3,Remain,9.0,Clear Remain,A
24,9,A4,Commercial,6.0,Clear Commercial,A
24,10,B5,Medevac,9.0,Clear Not Remain,B
24,11,A5,Remain,8.0,Clear Remain,A
24,12,C2,Commercial,4.0,Any Option,C
24,13,A6,Medevac,10.0,Clear Medevac,A
24,14,B6,Commercial,5.0,Clear Not Medevac,B
24,15,A7,Medevac,7.0,Clear Commercial,A
24,16,D1,Remain,7.0,Conflict Between Physiology/Logistics,D
24,17,D2,Remain,10.0,Conflict Between Physiology/Logistics,D
24,18,D3,Remain,10.0,Conflict Between Physiology/Logistics,D
24,19,A8,Medevac,10.0,Clear Medevac,A
24,20,C3,Medevac,7.0,Any Option,C
25,1,A1,Medevac,10.0,Clear Medevac,A
25,2,B1,Commercial,10.0,Clear Not Medevac,B
25,3,C1,Remain,10.0,Any Option,C
25,4,A2,Medevac,10.0,Clear Medevac,A
25,5,B2,Commercial,10.0,Clear Not Medevac,B
25,6,B3,Medevac,10.0,Clear Not Medevac,B
25,7,B4,Commercial,9.0,Clear Not Remain,B
25,8,A3,Remain,10.0,Clear Remain,A
25,9,A4,Commercial,10.0,Clear Commercial,A
25,10,B5,Medevac,10.0,Clear Not Remain,B
25,11,A5,Commercial,10.0,Clear Remain,A
25,12,C2,Medevac,10.0,Any Option,C
25,13,A6,Medevac,10.0,Clear Medevac,A
25,14,B6,Remain,10.0,Clear Not Medevac,B
25,15,A7,Medevac,10.0,Clear Commercial,A
25,16,D1,Remain,10.0,Conflict Between Physiology/Logistics,D
25,17,D2,Remain,10.0,Conflict Between Physiology/Logistics,D
25,18,D3,Remain,10.0,Conflict Between Physiology/Logistics,D
25,19,A8,Medevac,10.0,Clear Medevac,A
25,20,C3,Medevac,10.0,Any Option,C
26,1,A1,Medevac,8.0,Clear Medevac,A
26,2,B1,Remain,8.0,Clear Not Medevac,B
26,3,C1,Remain,8.0,Any Option,C
26,4,A2,Medevac,8.0,Clear Medevac,A
26,5,B2,Commercial,8.0,Clear Not Medevac,B
26,6,B3,Commercial,5.0,Clear Not Medevac,B
26,7,B4,Medevac,8.0,Clear Not Remain,B
26,8,A3,Remain,8.0,Clear Remain,A
26,9,A4,Remain,8.0,Clear Commercial,A
26,10,B5,Commercial,5.0,Clear Not Remain,B
26,11,A5,Remain,8.0,Clear Remain,A
26,12,C2,Commercial,5.0,Any Option,C
26,13,A6,Medevac,8.0,Clear Medevac,A
26,14,B6,Remain,5.0,Clear Not Medevac,B
26,15,A7,Medevac,8.0,Clear Commercial,A
26,16,D1,Medevac,2.0,Conflict Between Physiology/Logistics,D
26,17,D2,Medevac,8.0,Conflict Between Physiology/Logistics,D
26,18,D3,Remain,8.0,Conflict Between Physiology/Logistics,D
26,19,A8,Medevac,8.0,Clear Medevac,A
26,20,C3,Medevac,8.0,Any Option,C
